English,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia)
owner,bàⁿsá\\bâ-m,"bɔ̀ŋgɔ̌-m\\bɔ̀ŋgɔ́ bè, bɔ̀ŋɔ̌-m\\bɔ̀ŋɔ́ bè",bɔ̀ŋgɔ̌-m\\bɔ̀ŋgɔ́,bàŋâ,"báŋà, bàŋá-nà","báŋà ~ bâ:ⁿ, cìjɛ́ báŋà",báŋà\\báŋà-m,... báŋà,bàŋá,bàŋá,bàŋâ:\\bàŋâ: bè,,,,báŋàá,bàŋá:,bàŋáá,bàŋá,"bàdú, bàŋà\\bàŋà-mù",dòmbǎ:\\dòmbà-mbó,"gùnàrì, tìŋgà",,,bá:ŋgà,bá:ŋgà
"owner of house, head of household",íló bàsà = bàⁿsà\\bà-m,úrò bɔ̀ŋgɔ̀\\bɔ̀ŋgɔ̀ bé,úrò bɔ̀ŋgɔ̀\\bɔ̀ŋgɔ̀-m bé:,ńdô bàŋà,"gìnɛ́ bàŋâ:, gìnɛ́ bàŋá-nà",úró báŋà\\báŋà bé,íré báŋà,,,gìrⁿí báŋá,gɛ̀rⁿɛ́ bàŋà,,,,gìnɛ́ bàŋàà,,,úló bàŋà,ʔə́ló bádù,ólé dòmbà,"jíwá tìŋgá, jíwá gùnàrí",dèbù bá:ŋgà,,,
"resident, native of (a place)",nù-rⁿú,[X bɔ́ŋgɔ̀-m\\bɔ́ŋgɔ̀ bè],... nù-m,... báŋà,,... báŋà,... báŋà,,... báŋà,X nà,bɛ̌:-nɛ́\\nám,,,,bɛ̀-nɛ́,qqq,,,,,,gèwⁿ bá:ŋgà,,,
owners (suppletive plural),,,,,,... nám,,... nám,... nám,,,,,,,,,,,,,,,,
"residents, natives of (a place) (suppletive plural)",nù-mú,,... nù:,,,... nám,,,,X nà bè,X nám,,,,bɛ̀lɛ́m,X bɛ̀lɛ̀:,,,,,,,,,
the fellow (the person already mentioned),,,,,,,,,,,,,,,"bàŋáá, wó",,,,,dòmbâ-n\\dòmbà-mbó,,,,,
sb who has or is characterized by (sth),"X bàⁿsà\\bà-m, X dà ŋ́, X-[nù rⁿú]",X-gú-n,"X bɔ̀ŋgɔ̀\\bɔ̀ŋgɔ̀-m bé:, X-gú-m\\-gú",X-gí,X-gí-nɛ̀,X-gí-n,X-gú-n,,,X-gíⁿ,"X-gí-nɛ́\\-gú-m, X-ŋí-nɛ́\\-ŋú-m",,,,X-gí-nɛ́ \\-gí-m,,,X-jé\\-jì-mbó,X-jì\\-jì-mù,X-gɛ́:\\-gá:, -ŋgá,X-ŋgà,,X-gà,X-gà
sth that has or is characterized by (sth),,X-gú,X-gú,,X-gí-nɛ̀,X-gú,X-gú,,,X-gú,"X-gú, X-ŋú",,,,X-gú,,,,X-jì,,,X-ŋgà,,,
have,sá,yá só,yá só,yá sò,yí sɛ̀,sà,yá sà,yɛ́ sá,,sà,X yá sɛ̀,,,,sɛ́,"yè jó, jò",,yé sɔ̀,"zò, yà zó",jógò,sá,sá:,sò (X ǎⁿ sò),X bò sà,X ɛ̀ⁿ sâⁿ-∅
I have,ǹ sá,yá só-ỳ,yá só-y,yá sò-y,yí sɛ̀-ŋ̀,"yɛ́ sà-m, yɛ́ jèrè-m","yá sà-m, yá gìyà-m, yá jjà-m",,"yɛ́ sà-m, yɛ́ jèrè-m",íⁿ X yɛ́ sà,X yá sɛ̀-m,,,,yé-sɛ̀-m,yè jó-ŋ,,yé sɔ̀-m,yà zó-m,jógò-m,è sá-ỳⁿ,ò-ń-sâ:,,bò ŋ̀ sà,ɛ̀ⁿ ŋ́ sàⁿ-∅
he has,sá-wɔ́,yá só-ẃ,yá só-n,yá sò,yí sɛ̀,"yɛ́ sà, yɛ́ jèrè","yá sà, yá gìyà, yá jjà",... yɛ́ sǎ,,wó X yɛ́ sà,X yá sɛ̀,,,,yé-sɛ̀,yè jó,,yé sɔ̀,yà zó,jógò,è sá,ò-sá:,,bò sà-∅,ɛ̀ⁿ sâⁿ-∅
(one) who has ...,sá ŋ́,só-m̀,sô-m,só-mì,sɛ̂:,sán-ìn,,,,"X sá bàŋà, X báŋá",sɛ̂:\\sɛ̂-m,,,,sɛ́-nɛ́ \\ sɛ́-m,jó,,,,jó-ŋgà,,,,sà,sá:ⁿ ná (3Sg)
"have (sth, on oneself, at a given time)",sá,yá só,yá só,yá sò,,"jèré, jìné","yá gìyà, yá jjà",,,dìn-î:\\dìn-ɛ́:,yá sɛ̀,,,,sɛ́,,,,,jógò,,díndá,,,
possession of (sb),sí,kɔ́:ⁿ,kɔ́n,kɔ́,mɔ̀,cé,kí:,,,X kè:,"kíjɛ́, bɛ̌l",,,,bɛ̀lú,"mɔ̀, -ŋ̀",,[X kɔ̀],cì,"gɔ̀ (InanSgO), gɛ̀ (InanSgE)",X wɛ̌:,pí:,X yɛ́ (3Sg yɛ̌: nà),X wɛ̂: (< wɛ̀: 'thing'),X ɲɛ́ ~ X ɲɛ́:
of (possessive particle between possessor and possessed nouns),,,,,,mà,wà,,mà,,,,,,mɔ,,,,,,,,,,
"my possession, mine",ǹ sí,kɔ᷈ⁿ,,kɔ᷈:,mɔ́=ɔ̀,"mì cé, má cìgɛ́",,,mì cé,íⁿ kè:,mɔ̂:,,,,ḿ-mɔ̀,mɔ́,,"kɔ̌: (inan), wɛ̌: (an, inan pl)",,,mɛ̌:,,,[ŋ̀ wɛ̂:]=∅,[ŋ́ ɲɛ́]=wò
rightful possession (sth earned),hálâl,hálâl,hálâl,hálâl,,hálâl,,,,,xxx,,,,hálàl,,,,,,,,,,
"collective, joint, owned or shared in common","bà-ỳló ..., pɔ́rɔ̀bà ...","pòròbá, pɔ̀rbá",póróbà,"póróbâ, pòròbá",,"pòròbá, pɔ̀rbá, mɔ́:n",mɔ́:lú,,,pòrùpá,"pòròbá, mɔ́:nú",,,,pórbà,,,,"póròbà, pòròbá",pórbà,,pólúbà,,,
"I don't have, I lack",ǹ sà-rá,sò-ló-ỳ,sò-ndó-y,sò-ndó-y,sɛ̀-lɛ̀-ŋ́,sà:-rá-m,sà:-rá-m,sà:-rá-m,sà:-rá-m,íⁿ X sà:-rá,sɛ̀-lɛ́-m,,,,sɛ̀-lɛ́-m,jò-nnú-ŋ,,sɔ́-ndɔ̀-m,zò-nú-m,jògò-nú-m,sá:-ná-ỳ,ńsá:ndà,,ŋ̀ sá:-ndà,ŋ́ sà:-ndá
"he doesn't have, he lacks",sà-r-ɔ́:,sò-ló,só-ndó,sò-ǹdó,sɛ̀-lɛ́,sà:-rá,sà:-rá,,,wó X sà:-rá,sɛ̀-lɛ́,,,,sɛ̀-lɛ́,jò-nnú,,sɔ́-ndɔ̀,zò-ń,jògò-ndí,sà:-nà,sá:ndá,sò:-ndá,X sà:-ndà,X sá:-ndá
"fact of not having, of being without (sth)",,X-sò-lô:,,,,sà:-rá,,,,,,,,,,,,,,,,,,,
"be missing sth, be incomplete",máŋkà kárⁿú\\kárⁿá,ɲákɛ́,ɲákà káŋ,ɲáŋgɛ́,,ɲáká,ɲáŋkɛ́,,,,"dɔ̌:-l, màⁿká",,,,kìbè-lí,ɲǎk kánè,,,,wàjí\\wàjè,,kyé:lí,,,
"having gaps, incomplete (e.g. ear of corn with missing kernels) (adverb)",,tâŋ-tâŋ,,,,kòròm tâŋ,,,,tâŋ-tâŋ,,,,,"táŋ-táŋ-ni, íí kùndò-lí",,,,tómù-tómù,,,,,,
"fail to get (sth), miss out on (sth)",,,,,,,,,,,xxx,,,,dàlá,,,,,wá:sɛ́,,,,,
"store, stock (sth)",dèlú\\dèlé,dɛ̀:yí,bèsí,éw-ré,márù kán(à),dè:né,dà:lá,,,dǎ:-ǹ\\dá:-ná,ké:nɛ́-\\ké:nú,,,,bòdó,,,"gǎn (""put"")","mú:mbɔ́\\mù:mbà-lí, yé:dé\\yè:dè-lí",bèjí\\bèjè,,máŋgámì,,,
"save up, accumulate, husband (funds, for a future need)",hí:sà kárⁿú\\kárⁿá,mɔ̀:lí,"bèsí, màŋgí",mɔ̌:ndí,,màŋá,"màŋá, mɔ̀:lɔ́",,,dǎ:-ǹ\\dá:-ná,mɔ̌:-nɔ́-\\mɔ̌:-nú,,,,mɔ̀ɔ̀ndɔ́,qqq,,màŋgí,mú:mbɔ́\\mù:mbà-lí,màŋgí,,máŋgámì,,,
"store (millet grain spikes, in granary)",pɛ́gú\\pɛ́gá,,,,,,kíwɛ́,,,dǎ:-ǹ\\dá:-ná,kúnɔ́-\\kúnú,,,,"bòdó, kúndó",,,,,,,,,,
"deposit (e.g. money, for a limited period)",,,,,bòdó,,,,,,dǔ:-nɔ́-\\dǔ:-nú,,,,"bòdó, gàú-rɔ́",,,,,twɛ́\\twɛ̀,,,,,
"splinter-removing gear (needle, tweezers, and knife tied to a cord, carried in a small bag) taken into fields","cɛ̀ŋǒw, cɛ̀ŋgǒw",cɛ̀m-bôy,dòrò-gòndú-mbô:,kɛ̀mɛ̀-ɛ̀mbî,tɛ̀mbú,cɛ̀m-bǒy,kɛ̀m-bǒy,kɛ̀m-bǒy,,kɛ̀ⁿ-bǒ:,,,,,tɛ̀mbɛ́,qqq,èmmú,dàŋgà-[zóm-gó]\\-zómé:,,tɛ̀mbɛ́,ɛ̀:,,,ʔɛ̀:wɛ̀,
splinter needle,cɛ̌ŋ,cɛ̌m,cɛ̌m,[kɛ̀mɛ̀-ɛ̀mbì]-í:ndá,,,kɛ̌m,,,,èmú,,,,èmmù sǎy,,èmmú,cɛ́m-gɔ́\\cɛ́mɛ́:,èmù-cɛ̀m,èmbì-kɛ̀mɛ́\\-[kɛ̌:-mbó],,kɛ́mɛ̀,,,
tweezer(s),"ŋ̀gǒw, ɛ̀mbí: ~ ɛ̀mí:","ɛ̀mbî:, ɛ̀mbì-ɛ̀mb-î:",ɛ̀mbú-mbô:,kɛ̀mɛ̀-ɛ̀mbî,èmmú,,bǒy,,,,,,,,èmmú,qqq,èmmú,émbú-gó,èmù,èmb-î:\\èmb-î:-mbò,,ɛ́:wⁿɛ́,,,sá:mbó
large wooden tweezer,cèŋ-gǒw,,,,,,,,,,,,,,,,èmmú,,,,,,,,
"bush gear (knife, shoulderbag, watercan, etc.)",,ɔ̀rⁿɔ̀:-nì:njɛ́,kábɔ̀rdɛ̀,ò:-gɔ̀rⁿí,,èjù-nì:ɲé,òy-nì:ŋgɛ́,,,bàrà-gɛ́rⁿí:,,,,,òlù génú,qqq,,,òy-gón,kɛ̀rɛ̀-gòné,,wálágè gólágè,,,
man's fighting gear,zɔ́ŋɔ̀ lìsà,àrⁿà-nì:njɛ́,àrⁿà-gɔ̌n,ò:-gɔ̀rⁿí,,àrⁿà-nì:ɲé,"kɔ̀mbɔ̀-nì:ŋgɛ́, òy-nì:ŋgɛ́",,,àrⁿà-gɛ́rⁿí:,,,,,kɔ̀mbɔ̀ génú,,,,àn-gòn,ànà: gòné,,pɔ̀dì pɔ́gígé gɔ́lɛ́gɛ̀ // ìmbè ímbéŋgé gɔ́lɛ́gɛ̀,,,
"tea-making gear (burner, kettle, etc.)",àtê: lìsà,àtè:-nì:njɛ́,átèy gɔ̀n,tè:-gɔ̀rⁿí,tê: gèlù,tè:-nì:ɲé,tè:-nì:ŋgɛ́,,,tè-gɛ́rⁿí:,tè:-gɛ́n,,,,tèè génú,tê: gèlgè,,,tè:-gòn,tè:-gòné,té: gòwⁿ-gé,tɛ́: gùlègè,,ʔàtè góllè-gè,áttê: gólgè
"speak, talk, do some talking (verb plus noun)",tègú tégú\\tégó,těỳ tégé,tě-ỳ té:,"tíŋâ tíŋí, dàmá dàmá",sɔ̌: sɔ́yy-ɛ̀:-,tègú tégé,tègú tégé,tègú tégé,,tìŋɛ́ tíŋɛ́,"sɔ̌: sɔ́:, tègú tégé",,,,sɔ̀ɔ́ sɔ́ɔ́,dàmé,,órú-gó ɔ́r (ɔ́r-tì-),dòm dǎm,"dǎm\\dàmè, dôm dǎm\\dàmè, dǎ:ndí\\dà:ndè",dám(ú),gúnɛ́ xxx[dámí plus noun?],,"tágè, tá:yè",dám
speak (verb only),tégú\\tégó,tégé,té:,"tíŋí, dàmá",sɔ́yy-ɛ̀:-\\sɔ́yy-ì-ỳ,tégé,tégé,tégé,,tíŋɛ́,"tégé-\\tégé, sɔ́:",,,,sɔ́ɔ́,dàmé,dàmɛ́,ɔ́r (ɔ́r-tì-),dǎm\\dàmà-lí,dǎm\\dàmè,dám(ú),dámí,,"tágè, tá:yè",dám
"talk (noun), speech, words",tègú,těỳ,tě-ỳ,"tíŋâ, dàmá",sɔ̌:,tègú,tègú,,tègú,tìŋɛ́,"sɔ̌:, tègú",,,,sɔ̀ɔ́,dǒm,,órú-gó\\óré:,dòm,dôm,tònì,dô:ⁿ,,tágù,dìgàm
"what people say, popular opinion (as opposed to definite truth)",kà-tègú,mò:-těỳ,m̀bù:-tě-ỳ,nɔ̀:-tíŋâwⁿ,,kà:-tèg-î:,kà:-těg,,,kàⁿ-tìŋɛ́,àndúrⁿɔ́ sɔ̀:,,,,"gànnú sɔ̀ɔ̀, kɛ̀lì-ý sɔ̀ɔ̀, yéŋ gì-ɛ̀ⁿ",,,,cɛ́nɛ́ dóm,ìbí dòm,,,,,
"speak up (after others), address (sb)",,sá,xxx,sá:,,"tègú yàŋá, tègú sá:",tègú yɛ̀ŋgɛ́,,,,"tègú gèɲɛ́, sɔ̌: gèɲɛ́",,,,,,,,,xxx,,,,,
"language, dialect",tègú,te᷈y,,dàmá,sɔ̌:,"tègù-tɔ̀gú, tègú",,,,káⁿ,,,,,sɔ̀ɔ́,dǒm,dóòm,órú-gó,,,tònì,,,tágù,dígám
(quotative particle: indicate if not clause-final),ká (clause-initial),wa (ba after nasal),wa,wa,wa,wa,wa,,wa,gì,ɔ̀:,,,,"sɔ̀mmí-yé, tígɛ́",wa`:,wá,wa,wà,wa,wà,wâ:,,xxx,wá
(quotative particle following the subject of a quoted sentence),(none),má: ~ mà:,,wa,wa,(none),xxx,,,wà,xxx,(none),,,,wà:,,,wá(→),wa,wà,,,xxx,(none)
saying (adverb),gàránà:,,,,,,,,,,,,,,yéŋ gàà,,,,,,,,,,
he said,,X gùyⁿ,... gùn,... kìyɛ̀,gí-ỳ,... jɛ̀,,,... jɛ̀,"pòrì, gì",gì,,,,gì,gínɛ̀,góò,"ɔ̀rì, jìnì","dàmɛ̀, gùnɛ́ ~ gùrⁿɛ́",gìnɛ̀,gùnɛ́,gúnɛ́,,"ʔúnɛ̀, tá:yè",nɛ́
say,gá\\gá,gǔyⁿ,... gùn,kíyɛ́,gɛ̌:,"gá:, gà, jɛ̀",gá:,gɛ̀,"gá:, jɛ̀",pórù\\pɔ́-nɔ́,gɛ̌-\\gɛ̌,,,,gɛ̀,"gìnɛ́, pɔ́lɛ̀","gìnɛ́, pòlé","tágá (tágá-tì-), jǐn (jǐn-tì), ɔ́rú (ɔ́r-tì-)","dǎm\\dàmà-lí, gǔn\\gùnɛ́ ~ gùrⁿɛ́",gìnɛ́,gún(ú) (perfective gùnɛ́-),,"nɛ́ (nɛ́-rí), pɔ́rɔ̀ (pɔ̀rɛ̀, pɔ́rɛ́-rí)","ʔúnɛ̀, tá:yè","dám ('speak, say'), nɛ́ ('say')"
say (sth exotic),,dǎ,,,,,,,,,,,,,,,,,,,,,,,
tell (sth) to (sb),[X dè] gá\\gá,[X mâ:] gǐyⁿ,,Y [X bày] kíyɛ́,,[X lè] Y tégé,,,,[X ǹ] pórì,,,,,"sɔ̀ɔ́, gɛ̀",gìnɛ́,gìnɛ́,,,,,tá:rè,,,
Dogon language,,dɔ̀:-těỳ,dɔ̀:-tě-ỳ,dɔ̀gɔ̀-dàmá,dɔ̀gɔ̀-sɔ̌:,"dɔ̀ɣɔ́, dɔ̀ɣɔ̀-tègú",dɔ̀gɔ̀-tègú,,,dɔ̀gɔ̀-káⁿ,dɔ̀gɔ̀-sɔ̌:,,,,dɔ̀gɔ̀ sɔ̀ɔ́,dɔ̀gɔ̀-dǒm,dɔ̀gɔ̀ dóòm,dɔ̀gɔ̀-óré:,dɔ̀gɔ̀-dòm,dɔ̀gɔ̀-gé,,èjèŋgè dô:ⁿ,,,
Fulfulde language,pùlɔ̀-tègú,pùlɔ̀-těỳ,pìndàrù-tě-ỳ,pìrà-dàmá,pùlɔ̀-sɔ̌:,pùlɔ̀-tègú,pùlɔ̀-tègú,,,pùlɔ̀-káⁿ,pùlɔ̀-sɔ̌:,,,,pùlɔ̀ sɔ̀ɔ́,pùndà-dǒm,pùndà dóòm,pùlɔ̀-óré:,pùlà-dòm,pùlàndì-gé,,púndɛ́ŋgè dó:ⁿ,,,
Songhay language,zɔ̀-tègú,jɔ̀wɔ̀-těỳ,zɔ̀:-tě-ỳ,kɔ̀rɔ̀bɔ̀rɔ̀-dàmá,,jɔ̀:ⁿ-tègú,,,,,kɔ̀rɔ̀bɔ̀rɔ̀-sɔ̌:,,,,sɔ̀ŋàŋkè sɔ̀ɔ́,,kɔ̀rɔ̀bɔ̀rɔ̀ dóòm,,kɔ̀rɔ̀bɔ̀rɔ̀-dòm,sɔ̀ŋɔ̀ŋkɛ̀-gé,,kɔ̀rɔ̀bɔ̀rɔ̀gè dó:ⁿ,,,
Mossi (Moore) language of Burkina Faso,mùsì-tègú,mùnjù-te᷈y,,mùsì-dàmá,,mùɲù-tègú,,,,mùñì-káⁿ,,,,,mɔ̀sì sɔ̀ɔ́,,mɔ̀ɔ̀s dóòm,,,,,,,,
Jamsay language,hólú-tégù,jàmsày-těỳ,òzò-bàrⁿà-tě-ỳ,"jàmsǎy, jàmsày-dàmá",,jàmsày-tègú,jàmsày-tègú,,jàmsǎy,dùdàgà-káⁿ,jàmsày-sɔ̌:,,,,jàmsày sɔ̀ɔ́,,jàmsày dóòm,,jàmsày-dòm,jàmsày-gé,,,,,
"Gourou (a Dogon language, close to Jamsay)",,gùrù-te᷈y,,gùrù-dàmá,,gùrù-tègú,,,,gùrù-káⁿ,,,,,,,,,,,,,,,
Tombo-So (Tommo-so) language,tɔ̀mɔ̀-tègú,tɔ̀mbɔ̀-těỳ,tɔ̀mbɔ̀-tě-ỳ,"tɔ́mbɔ̀, tɔ̀mbɔ̀-dàmá",tɔ̀mmɔ̀-sɔ̌:,tɔ̀mɔ̀-tègú,tɔ̀mbɔ̀-tègú,,,tɔ̀mɔ̀-káⁿ,tɔ̀mɔ̀-sɔ̌:,,,,tɔ̀mmɔ̀ sɔ̀ɔ́,,tɔ̀mmɔ̀ dóòm,,tɔ̀mɔ̀-dòm,tɔ̀mbɛ̀-gé,,tòmòŋgè dó:ⁿ,,,
Tabi language (Toro Tegu),tɔ̀rɔ̀-tègú,,,,,,tà:bù-tègú,,,tɔ̀rɔ̀-káⁿ,,,,,bàànìkɔ́ɔ́ⁿ,,,,,,,,,,
Nanga language,,[nì-nà:]-těỳ,nà:nà-tě-ỳ,nàŋ-dàmá,,"nàŋà-tègú, [nì-nàŋà]-tègú",nàŋà-tègú,,,,nàŋà-sɔ̌:,,,,nàŋà sɔ̀ɔ́,,nàŋà dóòm,,nàŋà-dòm,nàŋ-gé,,,,,
language of Beni (Ben Tey),,bè:n-těỳ,bèn tě-ỳ,bɛ̀:rⁿì-dàmá,,bè:n-tègú,bè:n-tègú,,,,,,,,bènì sɔ̀ɔ́,,,,bè:n-dòm,bè:n-gé,,,,,
Toro-So (a Dogon language),,bòmbù-te᷈y,,bòmbì-dàmá,,,,,,tɔ̀rɔ̀-káⁿ,,,,,tɔ̀rɔ̀ sɔ̀ɔ́,,tòrò dóòm,,bòmbù-dòm,,,gùlìŋgè dó:ⁿ,,,
Tengou-Kan (a Dogon language),,tèŋ-te᷈y,,tɛ̀ŋì-dàmá,tɛ̀ŋù-sɔ̌:,tɛ̀ŋɛ̀-tègú,,,,tèŋ-káⁿ,,,,,tèŋù sɔ̀ɔ́,,,,,,,tèŋgìŋ̀gè dó:ⁿ,,,
"Woru-Kan (a Dogon language, close to Tengou-Kan)",,,,,,,,,,wɔ̀:rù-káⁿ,,,,,,,,,,,,,,,
"Giwri-Kan (a Dogon language associated with the Sagara clan, e.g. Gimini village)",,,,,,,,,,gìwⁿrⁿi-káⁿ,,,,,,,,,,,,,,,
Donno-So (a Dogon language),,,,,"dònnò-sɔ̌, kàmmà-sɔ̌:",,,,,,,,,,dònnù sɔ̀ɔ́,,kàmmà dóòm,,,,,tòmbèŋgè dó:ⁿ,,,
Dogulu (a Dogon language),,,,,dɔ̀gùlù-sɔ̌:,,,,,,,,,,,dɔ̀gùl-dǒm,dògùl dóòm,,,,,dògòlìŋ̀gè dó:ⁿ,,,
Tiranige (=Duleri) (a Dogon language),,,,,,,,,,,,,,,,,,,,,,dùlɛ̀gè dó:ⁿ,,,
Ampari or Ampari-Kora (a Dogon language),,,,,,,,,,,,,,,xxx,,,,,,,ámbálíŋgè dó:ⁿ,,,
western dialect of Mombo (Dogon language),,,,,,,,,,,,,,,,,,,,,,ɲámbéŋgè dó:ⁿ,,,
Yanda Dom (Yanda language),,,,,,,,,,,,,,,,,,,yàndà-dòm,,,,,,
personal name,ìsǒŋ,ìnìrⁿî:,"ŋìnnî:, ɲìnnî:","ǹnèrⁿî, ìnèrⁿî",bôy,bón,sórⁿú,bón,bón,bɔ́ⁿ,bôy,ʔùmbòlò,,,bóy,qqq,tìgɔ́ɔ́,bón-gó\\bóné:,ín,ínèn\\ínèn,ìnì,íní,ìnì (ìnì gé),ʔìnì,ùnù ~ ùn (ɲ-)
"surname, family (=clan) name",tìŋá,tì:râ:,tì:râ:,tìgâ,tìgɛ́,tìgɛ́,tìgɛ́,,,tìgɛ́,tìgɛ́,,,,tígɛ́,qqq,ììnó,tìgá,tì:dà,kíryɛ̀-n\\kíryɛ̀-n,cìrɔ̀,tígɔ́,,jàmbùr,jàmbù
nickname (used among peers),wáccɔ́:rɛ̀,tù:-ìnìrⁿî:,[tù-bòŋgùrò]-ŋìnnî:,kàdàgà-ǹnèrⁿî,tùmɔ̀-bôy,[kà-dàɣà]-bón,kàdàgà-sórⁿú,,,bɔ̀ⁿ-kɛ́,bòy-tɔ̀gɔ́,,,,"bòy nàŋàlì-yɛ́m, tòrù bóy",,ììnò jààré,kàdàgà-bóngó,ìn gìmbùlà,ìnèn bìlɔ̂:\\bìlɛ̂:,sàgàdàlà-gè ìní,sàgàlàŋ̀gè íní // wè: gè íní,,,
"So-and-so, such-and-such (substitute for name)",má:nì,à-mâ:n,má:nì,"à-má:nì ~ à-mâ:n, má:nì ~ mâ:n",má:nù,"mâ:n, à-mâ:n",à-má:nù,,,àmá:n,à-mâ:n,,,,"kídɛ́, ǹdɛ̀ wó, máànù",mâ:n,máàn,"dámbá ɲè, àmâ:n",à-mâ:n,mâ:n,mà:ní,,,xxx,fìlá:nà
"such-and-such (thing, place)",,má:nù,,,,,,,,,,,,,nɔ̀ɔ́,,,,,pùlâ:l,,,,,
whatchamacallit (substitute for a forgotten noun),"yⁿàŋêy, ɛ́n-ná",àŋây gǔyⁿ-yɛ̀,kɔ̀ mɔ̀sú,kɔ́ŋ,kìdɛ́,"cɛ̌:, cìjɛ́",,,,ɔ̀jɔ́,kíjɛ́,,,,"kídɛ́, yǎŋ gì-ɛ̀ⁿ",,,,,,,,,,
"word, name (of sth)",ìsǒŋ,ìnìrⁿî:,"ŋìnnî:, ɲìnnî:",ǹnèrⁿî,bôy,bón,sórⁿú,,,bɔ́ⁿ,bôy,,,,bóy,qqq,ínó,bón-gó\\bóné:,dòm,ínèn\\ínèn,,íní,,,
meaning (e.g. of a word),kɔ́rɔ̀,"kɔ́rɔ̀, má:ndày","má:ndì, kɔ́rɔ̀",kɔ́rɔ̂,kɔ́rɛ̀,kɔ́rɔ̀,kɔ́rɔ̀,,,kɔ́rɔ́,"kɔ́rɔ̀, tɛ̂:",,,,kɔ́rɔ́,qqq,kɔ̀rɔ́,kɔ́rɔ́,má:ndà,kɔ́rɔ̀,kɔ̀rɔ̀,kɔ́rɔ́,,mà:ndá,mà:nà
"about, concerning",,,kû wò,kû: gò,"X táŋɔ̀=ɔ̀ nì, X táŋà nɛ̀",kû:ⁿ,,,,[X ágá] tɔ̀ (cf. àrgá),,,,,… tàŋà nɛ,,,,,[X tìŋgɔ̀:] mà,,,,,
ask a question of (sb),úsú\\úsó,úsúrú,úsí,úsí,"tùbɔ́ kúndò, túbɔ̀\\túb-ɛ̀",újúró,úsúró,úsúrú,,úɲùrⁿù\\úɲɔ́rⁿɔ́,"újóró-\\újúrú, sélmɛ́",,,,sèlù-mú sélé-mɔ́,túbɛ̀,tùbɛ́,órú-gó ɔ́dír (ɔ́dír-tì-),sàdù sádú,sár\\sàrè,újárí újáró,sàrù sáré,,ʔéjárù ʔéjárè,sàrù sáré
"inquiry, question (noun)",ùsú,úsúrí:,ùs-î:,ùsâ,tùbɔ́,újúrú,úsúrú,úsúrú,újúrú,úɲúrⁿú,"újùrù, sélmù",,,,sèlùmú,tùbá:,tùbá,órú-gó ('language'),sàdù,sàr-û:\\sàr-î:,újárí,sárù,,ʔéjárù,sàrù
ask (a question) (verb only),úsú\\úsó,úsúrú,,úsí,,újúró,,,,úɲùrⁿì,,,,,sélúmé,túbɛ̀,,ɔ́dír,sádú\\sádá-lì,,újáró,sáré,,ʔéjárè,sáré
"request, ask for (sth)",úsú\\úsó,lémdé,lémbíré,"úsí, némbíré",,"[... lè] jàŋá, újúró",úsúró,,,gɛ̀ŋɛ́,gɛ̌:ⁿ-\\gɛ̌:ⁿ,,,,"gìyⁿɛ́, bóórú\\báúrú bàúrɔ́",gɛ̀ŋɛ́,,némbíl,nèmílé\\nèmílé-lì,sár\\sàrè,,sáré,,,
"plead, do some pleading or begging",zàŋú\\zàŋá,lèmdê: lémdé,lémbíré,nèmbìrê némbíré,gêŋ gɛ̀ŋɛ́,jáŋ jàŋá,jáŋ jàŋá,zǎŋ zàŋá,jáŋ jàŋá,gɛ́ŋ gɛ̀ŋɛ́,gɛ́:ⁿ gɛ̌:ⁿ,,,,gíyⁿɛ́ gìyⁿɛ́,gɛ̀ŋɛ́,,némbílá némbíl,,nèmbìl-ŋgó némbíl\\nèmbìlè,súnɔ́ súnɔ́,námbú námbé,,súbɛ̀,námbé
"plea, act of begging",záŋà,lèmdê:,lèmbìr-î:,nèmbìrê,gêŋ,jáŋ,jáŋ,zǎŋ,,gɛ́ŋ,gɛ́:ⁿ,,,,gíyⁿɛ́,,,némbílá,,nèmbìl-ŋgó\\nèmbìl-î:,súnɔ́,,,,
plead (verb only),zàŋú\\zàŋá,lémdé,lémbíré,némbíré,gɛ̀ŋɛ́,jàŋá,jàŋá,zàŋá,,gɛ̀ŋɛ́,gɛ̌:ⁿ-\\gɛ̌:ⁿ,,,,gìyⁿɛ́,gɛ̀ŋɛ́,,némbíl (némbíl-tì-),nèmílé\\nèmílé-lì,némbíl\\nèmbìlè,súnɔ́,námbé,,,
